id_customer,id_offer,num_times_received,num_times_viewed,num_times_completed,offer_successful,reward,duration,difficulty,email,mobile,social,web,offer_bogo,offer_discount,offer_informational,income,membership_days,membership_year,gender_F,gender_M,gender_O,Baby_Boomer,Gen-X,Millenial,Gen-Z
7997,7.0,1,1,1,1,5,7,5,1,1,0,1,1,0,0,100000.0,1314,2017,1,0,0,1,0,0,0
15044,3.0,1,1,0,0,2,7,10,1,1,0,1,0,1,0,70000.0,962,2018,0,1,0,1,0,0,0
3729,9.0,2,2,2,1,5,5,5,1,1,1,1,1,0,0,53000.0,1038,2018,0,1,0,1,0,0,0
3060,4.0,1,0,0,0,0,4,0,1,1,0,1,0,0,1,51000.0,1128,2017,0,1,0,1,0,0,0
11411,1.0,1,1,0,0,5,10,20,1,0,0,1,0,1,0,57000.0,1189,2017,1,0,0,1,0,0,0
3275,1.0,1,1,0,0,5,10,20,1,0,0,1,0,1,0,71000.0,1767,2016,1,0,0,1,0,0,0
4997,8.0,2,2,1,1,10,7,10,1,1,1,0,1,0,0,100000.0,1191,2017,0,1,0,1,0,0,0
12985,4.0,2,2,0,0,0,4,0,1,1,0,1,0,0,1,71000.0,1276,2017,1,0,0,1,0,0,0
14193,1.0,2,2,2,1,5,10,20,1,0,0,1,0,1,0,53000.0,1305,2017,1,0,0,1,0,0,0
16459,10.0,2,2,2,1,2,10,10,1,1,1,1,0,1,0,69000.0,2681,2013,0,1,0,0,1,0,0
13881,1.0,2,2,2,1,5,10,20,1,0,0,1,0,1,0,88000.0,960,2018,1,0,0,1,0,0,0
15695,7.0,2,1,0,0,5,7,5,1,1,0,1,1,0,0,41000.0,2153,2015,0,1,0,1,0,0,0
1962,8.0,1,1,0,0,10,7,10,1,1,1,0,1,0,0,70000.0,1175,2017,0,1,0,0,0,0,1
8941,3.0,1,0,1,1,2,7,10,1,1,0,1,0,1,0,89000.0,1122,2017,1,0,0,1,0,0,0
15981,7.0,3,1,1,1,5,7,5,1,1,0,1,1,0,0,33000.0,1618,2016,0,1,0,0,1,0,0
1052,5.0,1,1,1,1,10,5,10,1,1,1,1,1,0,0,57000.0,1582,2016,1,0,0,1,0,0,0
10669,2.0,1,1,1,1,3,7,7,1,1,1,1,0,1,0,63000.0,1219,2017,1,0,0,0,0,1,0
7308,9.0,1,1,1,1,5,5,5,1,1,1,1,1,0,0,40000.0,1858,2015,0,1,0,1,0,0,0
170,8.0,1,1,0,0,10,7,10,1,1,1,0,1,0,0,30000.0,1616,2016,1,0,0,0,0,0,1
12891,7.0,1,1,1,1,5,7,5,1,1,0,1,1,0,0,33000.0,890,2018,0,1,0,0,1,0,0
5846,7.0,1,0,0,0,5,7,5,1,1,0,1,1,0,0,80000.0,1405,2017,1,0,0,0,1,0,0
12744,6.0,1,1,0,0,0,3,0,1,1,1,0,0,0,1,51000.0,2392,2014,0,1,0,0,1,0,0
10979,7.0,1,1,0,0,5,7,5,1,1,0,1,1,0,0,48000.0,2069,2015,1,0,0,1,0,0,0
7789,5.0,1,1,0,0,10,5,10,1,1,1,1,1,0,0,38000.0,980,2018,1,0,0,1,0,0,0
10469,10.0,1,1,1,1,2,10,10,1,1,1,1,0,1,0,53000.0,1521,2016,1,0,0,0,1,0,0
6863,8.0,1,1,1,1,10,7,10,1,1,1,0,1,0,0,92000.0,1308,2017,0,1,0,0,1,0,0
10702,3.0,1,1,1,1,2,7,10,1,1,0,1,0,1,0,96000.0,1792,2016,0,1,0,0,1,0,0
3341,7.0,2,2,2,1,5,7,5,1,1,0,1,1,0,0,38000.0,1097,2017,0,1,0,1,0,0,0
16905,8.0,1,1,1,1,10,7,10,1,1,1,0,1,0,0,93000.0,1526,2016,1,0,0,1,0,0,0
12289,9.0,1,1,1,1,5,5,5,1,1,1,1,1,0,0,35000.0,1176,2017,0,1,0,0,1,0,0
13493,3.0,1,1,1,1,2,7,10,1,1,0,1,0,1,0,56000.0,884,2018,0,1,0,1,0,0,0
15507,5.0,1,1,0,0,10,5,10,1,1,1,1,1,0,0,44000.0,1144,2017,0,1,0,0,0,1,0
14119,9.0,2,2,2,1,5,5,5,1,1,1,1,1,0,0,87000.0,1208,2017,0,1,0,1,0,0,0
11123,6.0,1,1,0,0,0,3,0,1,1,1,0,0,0,1,52000.0,1841,2015,0,1,0,1,0,0,0
3025,2.0,2,2,2,1,3,7,7,1,1,1,1,0,1,0,76000.0,1386,2017,0,1,0,1,0,0,0
3825,8.0,1,0,0,0,10,7,10,1,1,1,0,1,0,0,64000.0,2296,2014,0,1,0,1,0,0,0
9372,2.0,1,1,1,1,3,7,7,1,1,1,1,0,1,0,72000.0,1621,2016,1,0,0,0,1,0,0
3835,5.0,2,2,2,1,10,5,10,1,1,1,1,1,0,0,117000.0,1443,2016,1,0,0,0,1,0,0
8532,9.0,2,2,0,0,5,5,5,1,1,1,1,1,0,0,55000.0,1144,2017,1,0,0,0,1,0,0
16714,3.0,1,1,0,0,2,7,10,1,1,0,1,0,1,0,112000.0,1129,2017,1,0,0,1,0,0,0
10276,9.0,1,1,1,1,5,5,5,1,1,1,1,1,0,0,85000.0,1053,2018,1,0,0,1,0,0,0
4198,8.0,1,1,0,0,10,7,10,1,1,1,0,1,0,0,71000.0,894,2018,0,1,0,1,0,0,0
7309,6.0,2,2,0,0,0,3,0,1,1,1,0,0,0,1,35000.0,1068,2018,0,1,0,0,0,1,0
2451,9.0,2,2,0,0,5,5,5,1,1,1,1,1,0,0,53000.0,1020,2018,0,1,0,0,1,0,0
10914,6.0,1,1,0,0,0,3,0,1,1,1,0,0,0,1,91000.0,969,2018,1,0,0,1,0,0,0
2853,4.0,1,0,0,0,0,4,0,1,1,0,1,0,0,1,107000.0,1816,2015,1,0,0,1,0,0,0
16637,3.0,1,1,1,1,2,7,10,1,1,0,1,0,1,0,66000.0,1401,2017,0,1,0,0,1,0,0
5803,5.0,3,3,3,1,10,5,10,1,1,1,1,1,0,0,58000.0,1859,2015,0,1,0,1,0,0,0
8591,10.0,2,2,2,1,2,10,10,1,1,1,1,0,1,0,53000.0,1449,2016,1,0,0,0,1,0,0
1283,9.0,2,2,0,0,5,5,5,1,1,1,1,1,0,0,74000.0,914,2018,1,0,0,1,0,0,0
6967,2.0,1,1,1,1,3,7,7,1,1,1,1,0,1,0,57000.0,1345,2017,1,0,0,0,1,0,0
9282,3.0,1,0,1,1,2,7,10,1,1,0,1,0,1,0,98000.0,1118,2017,0,1,0,1,0,0,0
10345,10.0,2,2,2,1,2,10,10,1,1,1,1,0,1,0,119000.0,1191,2017,1,0,0,1,0,0,0
767,10.0,1,1,1,1,2,10,10,1,1,1,1,0,1,0,51000.0,987,2018,0,1,0,1,0,0,0
12162,2.0,2,2,2,1,3,7,7,1,1,1,1,0,1,0,93000.0,1317,2017,1,0,0,0,1,0,0
1824,8.0,2,1,1,1,10,7,10,1,1,1,0,1,0,0,98000.0,1830,2015,1,0,0,1,0,0,0
4216,1.0,2,0,0,0,5,10,20,1,0,0,1,0,1,0,84000.0,1596,2016,1,0,0,1,0,0,0
11912,5.0,1,1,0,0,10,5,10,1,1,1,1,1,0,0,54000.0,1216,2017,0,1,0,0,1,0,0
2149,2.0,2,2,2,1,3,7,7,1,1,1,1,0,1,0,49000.0,1785,2016,0,1,0,1,0,0,0
1724,10.0,2,2,2,1,2,10,10,1,1,1,1,0,1,0,73000.0,1520,2016,1,0,0,0,0,0,1
9803,8.0,1,1,1,1,10,7,10,1,1,1,0,1,0,0,58000.0,1031,2018,1,0,0,1,0,0,0
16504,8.0,2,1,2,1,10,7,10,1,1,1,0,1,0,0,72000.0,1585,2016,1,0,0,1,0,0,0
11361,10.0,2,2,2,1,2,10,10,1,1,1,1,0,1,0,63000.0,1711,2016,0,1,0,1,0,0,0
9947,5.0,2,2,2,1,10,5,10,1,1,1,1,1,0,0,78000.0,1308,2017,0,1,0,0,1,0,0
9198,8.0,1,1,0,0,10,7,10,1,1,1,0,1,0,0,31000.0,1099,2017,0,1,0,0,1,0,0
