id_customer,income,membership_days,membership_year,gender_F,gender_M,gender_O,Baby_Boomer,Gen-X,Millenial,Gen-Z
399,112000.0,1247,2017,1,0,0,0,1,0,0
7997,100000.0,1314,2017,1,0,0,1,0,0,0
15044,70000.0,962,2018,0,1,0,1,0,0,0
3729,53000.0,1038,2018,0,1,0,1,0,0,0
3060,51000.0,1128,2017,0,1,0,1,0,0,0
11411,57000.0,1189,2017,1,0,0,1,0,0,0
14985,46000.0,2495,2014,0,1,0,0,0,1,0
3275,71000.0,1767,2016,1,0,0,1,0,0,0
6547,52000.0,2222,2014,0,1,0,0,1,0,0
6657,42000.0,1078,2017,0,1,0,1,0,0,0
11023,40000.0,957,2018,1,0,0,1,0,0,0
4542,71000.0,1684,2016,1,0,0,0,1,0,0
4997,100000.0,1191,2017,0,1,0,1,0,0,0
12985,71000.0,1276,2017,1,0,0,1,0,0,0
16459,69000.0,2681,2013,0,1,0,0,1,0,0
13881,88000.0,960,2018,1,0,0,1,0,0,0
13237,52000.0,1174,2017,1,0,0,0,0,1,0
7702,59000.0,1189,2017,1,0,0,0,1,0,0
15695,41000.0,2153,2015,0,1,0,1,0,0,0
5915,96000.0,2304,2014,0,1,0,1,0,0,0
13995,52000.0,1184,2017,0,0,1,0,1,0,0
1962,70000.0,1175,2017,0,1,0,0,0,0,1
8941,89000.0,1122,2017,1,0,0,1,0,0,0
15981,33000.0,1618,2016,0,1,0,0,1,0,0
1052,57000.0,1582,2016,1,0,0,1,0,0,0
9458,68000.0,2408,2014,0,1,0,1,0,0,0
10669,63000.0,1219,2017,1,0,0,0,0,1,0
7308,40000.0,1858,2015,0,1,0,1,0,0,0
170,30000.0,1616,2016,1,0,0,0,0,0,1
12891,33000.0,890,2018,0,1,0,0,1,0,0
9282,98000.0,1118,2017,0,1,0,1,0,0,0
9504,37000.0,2643,2013,1,0,0,1,0,0,0
5846,80000.0,1405,2017,1,0,0,0,1,0,0
12744,51000.0,2392,2014,0,1,0,0,1,0,0
4226,41000.0,1910,2015,1,0,0,0,1,0,0
10979,48000.0,2069,2015,1,0,0,1,0,0,0
7789,38000.0,980,2018,1,0,0,1,0,0,0
15541,52000.0,1266,2017,1,0,0,1,0,0,0
16111,56000.0,2335,2014,1,0,0,0,1,0,0
10702,96000.0,1792,2016,0,1,0,0,1,0,0
16905,93000.0,1526,2016,1,0,0,1,0,0,0
1567,48000.0,1164,2017,0,1,0,0,1,0,0
9221,50000.0,1688,2016,0,1,0,0,0,1,0
12289,35000.0,1176,2017,0,1,0,0,1,0,0
13493,56000.0,884,2018,0,1,0,1,0,0,0
5628,56000.0,1081,2017,0,1,0,0,1,0,0
11493,47000.0,1005,2018,1,0,0,1,0,0,0
14119,87000.0,1208,2017,0,1,0,1,0,0,0
11123,52000.0,1841,2015,0,1,0,1,0,0,0
3025,76000.0,1386,2017,0,1,0,1,0,0,0
14414,51000.0,1597,2016,0,1,0,1,0,0,0
3825,64000.0,2296,2014,0,1,0,1,0,0,0
12190,98000.0,1040,2018,0,1,0,1,0,0,0
9372,72000.0,1621,2016,1,0,0,0,1,0,0
3835,117000.0,1443,2016,1,0,0,0,1,0,0
8532,55000.0,1144,2017,1,0,0,0,1,0,0
16714,112000.0,1129,2017,1,0,0,1,0,0,0
6169,77000.0,1555,2016,1,0,0,1,0,0,0
10276,85000.0,1053,2018,1,0,0,1,0,0,0
15245,36000.0,898,2018,1,0,0,0,1,0,0
16671,41000.0,1107,2017,0,1,0,0,0,1,0
749,89000.0,1211,2017,0,1,0,1,0,0,0
16231,41000.0,1809,2015,0,1,0,0,1,0,0
7309,35000.0,1068,2018,0,1,0,0,0,1,0
2451,53000.0,1020,2018,0,1,0,0,1,0,0
10914,91000.0,969,2018,1,0,0,1,0,0,0
2853,107000.0,1816,2015,1,0,0,1,0,0,0
10542,66000.0,1849,2015,0,1,0,0,1,0,0
5803,58000.0,1859,2015,0,1,0,1,0,0,0
8591,53000.0,1449,2016,1,0,0,0,1,0,0
1283,74000.0,914,2018,1,0,0,1,0,0,0
